Primary Type,Description,Year,value
THEFT,OVER $500,2001,32222
THEFT,$500 AND UNDER,2001,60352
THEFT,OVER $500,2002,27367
THEFT,$500 AND UNDER,2002,46378
THEFT,OVER $500,2003,20394
THEFT,$500 AND UNDER,2003,36387
THEFT,OVER $500,2004,19020
THEFT,$500 AND UNDER,2004,35270
THEFT,OVER $500,2005,18648
THEFT,$500 AND UNDER,2005,27378
THEFT,OVER $500,2006,20506
THEFT,$500 AND UNDER,2006,26706
THEFT,OVER $500,2007,21852
THEFT,$500 AND UNDER,2007,24756
THEFT,OVER $500,2008,23825
THEFT,$500 AND UNDER,2008,24876
THEFT,OVER $500,2009,21134
THEFT,$500 AND UNDER,2009,23732
THEFT,OVER $500,2010,21432
THEFT,$500 AND UNDER,2010,24071
THEFT,OVER $500,2011,15283
THEFT,$500 AND UNDER,2011,28329
THEFT,OVER $500,2012,15599
THEFT,$500 AND UNDER,2012,28767
THEFT,OVER $500,2013,15259
THEFT,$500 AND UNDER,2013,27118
THEFT,OVER $500,2014,14521
THEFT,$500 AND UNDER,2014,28173
THEFT,OVER $500,2015,12390
THEFT,$500 AND UNDER,2015,24193
THEFT,OVER $500,2016,3486
THEFT,$500 AND UNDER,2016,5925
